Fold,ACC,PRECISION,RECALL,F1,MCC,SPECIFICITY,ROC_AUC,PR_AUC
1.0,0.7242990654205608,0.7136150234741784,0.7272727272727273,0.7203791469194313,0.44861631403600105,0.7214611872146118,0.7684341613685521,0.7088676540607995
2.0,0.7219626168224299,0.7074468085106383,0.6751269035532995,0.6909090909090909,0.43890190189940104,0.7619047619047619,0.7706946184103545,0.7030243142936965
3.0,0.6682242990654206,0.6067415730337079,0.6,0.6033519553072626,0.31824136176007034,0.717741935483871,0.6888888888888889,0.5596718891081988
4.0,0.7009345794392523,0.7083333333333334,0.6538461538461539,0.68,0.40126978830827575,0.7454545454545455,0.7446678321678322,0.7169910350758453
5.0,0.75,0.7824267782426778,0.7727272727272727,0.7775467775467776,0.4922886686148586,0.7204301075268817,0.8060961521372079,0.8123827489977395
6.0,0.7102803738317757,0.6836158192090396,0.6402116402116402,0.6612021857923498,0.40928663929115927,0.7656903765690377,0.7614619999557237,0.7042845761736172
7.0,0.7242990654205608,0.6372549019607843,0.4452054794520548,0.5241935483870968,0.34939885340886484,0.8687943262411347,0.7262702807733411,0.6025482355337496
8.0,0.7453271028037384,0.7268041237113402,0.7157360406091371,0.7212276214833758,0.4868929847944473,0.7705627705627706,0.7708044916166744,0.7331321401862871
9.0,0.7406542056074766,0.7525773195876289,0.6985645933014354,0.7245657568238214,0.4813624584784962,0.7808219178082192,0.7543422691223701,0.7246682245930136
10.0,0.7062937062937062,0.7464788732394366,0.5408163265306123,0.6272189349112427,0.4089372771668853,0.8454935622317596,0.733336252956118,0.7089556325304596
Average,0.7192275014704922,0.7065294554302766,0.6469507137504333,0.673059501808045,0.4235196247758459,0.7698355490997594,0.7524996947397062,0.6974526450553407
Std Dev,0.0243343691243858,0.052939953725243086,0.09702442963277384,0.07284591626882984,0.058161934090895435,0.0514321969811931,0.03169160185615867,0.06986901650591651
